DATE,SP500,GOLD,LIBOR
2020-04-28,2863.39,1708.100,0.76013
2020-04-29,2939.51,1706.000,0.68663
2020-04-30,2912.43,1716.750,0.55613
2020-05-01,2830.71,1673.050,0.54088
2020-05-04,2842.74,1703.700,0.50088
2020-05-05,2868.44,1696.300,0.47400
2020-05-06,2848.42,1698.900,0.44763
2020-05-07,2881.19,1688.650,0.43463
2020-05-11,2930.32,1698.800,0.43350
2020-05-12,2870.12,1703.450,0.42400
2020-05-13,2820.00,1699.850,0.39238
2020-05-14,2852.50,1716.400,0.38563
2020-05-15,2863.70,1734.850,0.38050
2020-05-18,2953.91,1756.900,0.37663
2020-05-19,2922.94,1735.250,0.37413
2020-05-20,2971.61,1750.050,0.35800
2020-05-21,2948.51,1732.800,0.35950
2020-05-22,2955.45,1732.450,0.36925
2020-05-26,2991.77,1722.750,0.37125
2020-05-27,3036.13,1705.150,0.36250
2020-05-28,3029.73,1723.300,0.35000
2020-05-29,3044.31,1725.650,0.34400
2020-06-01,3055.73,1734.800,0.33713
2020-06-02,3080.82,1740.250,0.33050
2020-06-03,3122.87,1717.600,0.32663
2020-06-04,3112.35,1706.450,0.31763
2020-06-05,3193.93,1709.550,0.31288
2020-06-08,3232.39,1692.000,0.30975
2020-06-09,3207.18,1707.500,0.31463
2020-06-10,3190.14,1717.650,0.31838
2020-06-11,3002.10,1731.900,0.31338
2020-06-12,3041.31,1735.850,0.32088
2020-06-15,3066.59,1710.400,0.29900
2020-06-16,3124.74,1728.350,0.30788
2020-06-17,3113.49,1717.300,0.31625
2020-06-18,3115.34,1732.650,0.30638
2020-06-19,3097.74,1728.550,0.30513
2020-06-22,3117.86,1745.450,0.29663
2020-06-23,3131.29,1756.600,0.29688
2020-06-24,3050.33,1775.700,0.28375
2020-06-25,3083.76,1758.550,0.30600
2020-06-26,3009.05,1762.100,0.30788
2020-06-29,3053.24,1768.800,0.29613
2020-06-30,3100.29,1770.700,0.30200
2020-07-01,3115.86,1787.400,0.29850
2020-07-02,3130.01,1771.850,0.30375
2020-07-06,3179.72,1774.400,0.27650
2020-07-07,3145.32,1775.500,0.26838
2020-07-08,3169.94,1799.350,0.27288
2020-07-09,3152.05,1812.450,0.26625
2020-07-10,3185.04,1805.750,0.26813
2020-07-13,3155.22,1808.050,0.27500
2020-07-14,3197.52,1798.200,0.27088
2020-07-15,3226.56,1809.300,0.27288
2020-07-16,3215.57,1804.600,0.27175
2020-07-17,3224.73,1802.900,0.27138
2020-07-20,3251.84,1810.300,0.25775
2020-07-21,3257.30,1823.200,0.25550
2020-07-22,3276.02,1851.000,0.26350
2020-07-23,3235.66,1882.350,0.24450
2020-07-24,3215.63,1893.850,0.24675
2020-07-27,3239.41,1940.550,0.26963
2020-07-28,3218.44,1931.650,0.26825
2020-07-29,3258.44,1954.350,0.26063
2020-07-30,3246.22,1952.200,0.25100
2020-07-31,3271.12,1974.700,0.24875
2020-08-03,3294.61,1972.950,0.24900
2020-08-04,3306.51,1972.250,0.24850
2020-08-05,3327.77,2034.450,0.24200
2020-08-06,3349.16,2049.150,0.24325
2020-08-07,3351.28,2061.500,0.25250
2020-08-10,3360.47,2030.300,0.25688
2020-08-11,3333.69,1996.600,0.25350
2020-08-12,3380.35,1931.700,0.26475
